优先级,优先级建议,区域,企业名称,省市,城市,官网（本轮核实）,官网主营（反向验证）,验证结论与修正,联系电话,邮箱,详细地址,社媒（公众号 / 抖音 / 1688 / 其他）,触达路径（细化到联系方式）,行业细分,主营业务（名单口径）,适配案例,初筛分(企业侧/35),成功面,失败面·待核实,建议切入点,来源,信息可靠度,核实日期
A,新增·优先接触 —— 注册 5200 万、服务 500+ 医疗机构、参编《中国医院建设指南》；自有厂房在广清产业园，属珠三角配套圈，成本敏感度高、数字化空白大,珠三角,广东华展家具制造有限公司（华展医疗）,广东,清远高新区（广清）,http://www.gdhzyiliao.com,全系列医用家具（门诊、临床、护理、医技、辅助、行政六大单元）+ 整体医疗家具配套服务,✓ 一致：官网与工商信息证实——2014 年成立、注册资本 5200 万、统一社会信用代码 91441802314824360N、厂房位于清远高新区银盏嘉福工业区；行业榜单证实其为《中国医院建设指南》《医用家具设计及配置指南》第二版参编单位，已为全国 500 多家医疗机构提供整体配套,400-888-9061（热线）· 400-832-5988 · 188-1847-1808,2880706656@qq.com（商务 QQ 同号）,广东省清远市高新区银盏嘉福工业区嘉顺路自编 13 号厂房 A 栋,官网在线客服 + 商务 QQ（2880706656）+ 二维码；「社交媒体」栏目为友情链接（筑医台/中国医院建设网）,400-888-9061 转商务，问「500 家医院的项目，图纸版本与现场变更怎么管」；广清产业园人工与厂房成本低，讲「少赔钱」比讲「升级」有效,医用家具·整体方案,门诊/临床/护理/医技/辅助/行政全系列医用家具,案例 B,26,500+ 医疗机构项目制交付、参编标准（对内也要台账）、非珠三角核心区成本结构（对投入更敏感、ROI 说话最管用）,清远不在珠三角核心，供应链响应慢；可能有总部/分厂两套管理，试点范围界定要先谈清,「一个护士站的交付全过程」：设计确认→拆单→生产→现场安装，哪一步最容易亏钱,官网 gdhzyiliao.com · chinapp 企业信息 · maigoo 行业榜 · 2026-09-12 核实,高（官网 + 工商 + 行业榜单）,2026-09-12
A,维持 A —— 城市已修正为广州花都；政采投标三条专线可直接打,珠三角,广东华燊实业有限公司（VOU+卫域）,广东,广州（花都区）,https://www.gdhs2007.cn,护士站 / 导医台 / 诊疗桌 / 医用办公桌椅 / 口腔治疗柜 / 移动送药车 / 儿科诊桌 / 医用诊床 / 诊疗操作台 / 医院家具 / 适老化·医养家具 / 实验边台 / 病床护理床 / 牙科柜,✗→已修正：我们原先写『东莞』，官网明确为【广州花都区】；2007 年成立、两大生产基地 5 万㎡+、3000㎡ 展厅、ISO9001/14001/45001/13485、十环认证、一二类医疗器械生产备案；政采投标 20 年、200+ 医院项目 —— 『政采投标 + 配套生产』定位成立,15711700118（政采投标专线）· 15710701718（工厂报价/方案）· 16616656119（外贸）,sampu@vouplus.com · sampu@foxmail.com,营销中心/一厂：广州市花都区花东镇大龙工业园 1 号；二厂：花东镇永清路 11 号；三厂：花东镇北兴大龙工业园 11 号,品牌名「VOU+卫域」可在微信搜一搜直接找公众号/视频号；官网同时挂 Wechat/WhatsApp：15710701718（询盘即达）,政采投标专线 15711700118（对口项目）；工厂报价/方案 15710701718；邮箱 sampu@vouplus.com 备用,医疗家具,医院/适老/医养家具；政采投标+为中标方配套生产,案例B,26,政府采购投标→资质/台账/交期全刚性；配套生产订单波动大且客户交期刚性；政采要求记录完整,以配套生产为主，议价能力弱毛利薄；是否已有MES/进销存需核实,投标用一键台账导出+工程齐套校验,官网首页 + 关于我们 · 核实日 2026-09-11,中,2026-09-11
A,新增·优先接触 —— 2.5 万㎡工厂、301–500 人、代工可口可乐/欧莱雅、出口 50 多国；跨境电商与验厂双重压力下，批次与齐套是硬需求,珠三角,东莞市领展展示用品有限公司,广东,东莞桥头,https://www.gpmetalware.com（中英双语，有英文站 /en/）,定制展示架与展示柜：金属展示架、亚克力制品、木质展示架、注塑展示架；自有五金车间、钣金车间、粉末喷涂线、亚克力车间、丝印车间、注塑车间、木工车间、包装车间,✓ 一致并更强：官网 + 1688 工厂档案证实——2005 年创立（1688 显示成立 2013-12-13 为工商主体登记）、厂房近 2.5 万㎡、17 年定制经验、服务 6000 家企业品牌、出口 50 多国；1688 档案显示「员工总数 301–500 人」「年交易额 2000 万以上」，代工品牌含可口可乐、保利地产、欧莱雅，并持有 Sedex（出口验厂体系）与 ISO9001 认证,0769-83980511（全国热线）· 139-2927-6289（24 小时）,官网未公示邮箱；1688 在线询盘为主,广东省东莞市桥头镇大洲社区第二工业区大西二路 2 号,阿里巴巴 1688 工厂店（b2b-3519466954310e7，可直接询价）+ 微信（官网「添加微信咨询」）+ 官网在线客服,1688 店铺直接找厂长「尹晓培」（1688 档案标注为对外洽谈负责人）留言，或打 139-2927-6289；开口问「出口订单的批次追溯与非标打样怎么留档（Sedex 验厂要看）」,展示道具·出口定制,金属/亚克力/木质展示架与展示柜（POP 陈列道具），出口 50+ 国,案例 B,25,出口 50+ 国 + Sedex/ISO 验厂（追溯是准入条件）、八类车间多工序、代工大牌（可口可乐/欧莱雅）对交期与批次极敏感、年交易额 2000 万+ 有付费能力,展示架单价低、利润薄；已用 1688 与 ERP 类工具管理的可能性；需确认打样-量产之间的图纸版本管理现状,「打样版本 + 批量一致性」：一次验厂不过、一次色差退货，损失多少,官网 gpmetalware.com（中英）· 1688 工厂档案 · 2026-09-12 核实,高（官网 + 1688 官方工厂档案交叉）,2026-09-12
A,A → B —— 无官网、公开信息薄；推广页称 700 人已近上限,珠三角,广州市万开家具制造有限公司,广东,广州,未找到独立官网（只有 1688 信用页 / 企查查）—— 建议以 1688 店铺或电话触达,医用家具 / 医院家具 / 护士站 / 药房家具 / 病床 / 治疗车 / 器械柜 / 药品柜 / 银行家具,△ 部分：工商登记 10090 万注册资本 = 与名单一致；行业推广页称占地 120 余亩、员工 700 多人（接近 80–800 人上限，需现场核实）；主营『医用家具 + 工程』方向一致,020-3602****（企查查掩码，需拨 020 查号或走 1688）,,广州市白云区江高镇新贝路 1 号,1688 店铺（无官网、无官微线索）,无官网 → 1688 店铺留言 + 020 查号台找总机；同步从政府招标中标公告找项目负责人,医疗家具,医疗家具/诊断桌/护士站/试验台/器械柜,案例B,25,招投标为主+多品类小批量+工程安装齐套，与案例B高度同构；案例500+→链条长易出齐套问题,与仪美同城同赛道，若一家已选型另一家紧迫感上升；规模与营收需核实,订单—图纸—生产—安装的齐套与变更留痕,1688 企业信用页 + 企查查 + 行业推广页 · 核实日 2026-09-11,中,2026-09-11
A,A → B —— 员工 1000+ 超出甜点区，只谈车间那一段（补位/分包）,珠三角,佛山市南海新达高梵实业有限公司,广东,佛山南海,https://www.fsclover.com（品牌/渠道站；工厂另有 B2B 店铺）,屏风办公桌 / 会议桌 / 大班台 / 办公椅 / 沙发 / 文件柜 / 玻璃隔断（办公家具全品类 + 出口）,✓ 一致：注册资本 12702 万（=名单 1.2702 亿）、12 万㎡ 厂区、年产值 10 亿；但**员工超 1000 人，已超出 80–800 人甜点区** → 定位应调整为『补位/分包』，不做主线；工商登记成立 2002-12-09（对外称 1990 年创办）,137-0297-9732（渠道）· 17052431054（工厂）,595565222@qq.com / echo@fsclover.com,广东省佛山市南海区狮山镇兴业北路 3 号之一（大涡塘工业区）,官网品牌站 fsclover.com + 老站 gdclover.com（英文）；「OEM 代加工」页为 B 端入口；无公众号/抖音入口,137-0297-9732 / 17052431054；595565222@qq.com；开场就说「只补车间那一段，不动你现有系统」,家具制造,办公/教学/医疗家具，出口100+国,案例B,24,出口100+国→外部压力强；多品类多制造中心→权限隔离与成本归集明确,约1000人接近规模上限，大概率已有IT部门→定位应为补位/分包,出口订单的批次追溯与多制造中心成本归集,产品站 + 世界家具工厂黄页 + 工商公示 · 核实日 2026-09-11,中,2026-09-11
A,维持 A —— 无独立官网，用厂家直销电话；先确认与「伍发门窗」的主体关系,珠三角,佛山市威尔普斯门窗有限公司,广东,佛山南海,未找到独立官网（品牌页/推广页为主）—— 走 1688 或电话,铝合金/系统门窗（断桥铝），中高端定位；2026-03 产业报道称其为『佛山系统门窗头部企业』并已走向『数据化智造』,△ 部分：产品方向一致；『已有数字化投入』的判断得到侧面印证（报道提到车间数据化、系统窗）；但来源是推广性质报道，需现场核实现有系统边界,15813445274,,佛山市南海区里水镇工业区,（待补）—— 无独立官网；线上替代：厂家直销微信 13924888502 + 邮箱 2385922529@qq.com，先确认与「伍发门窗」的主体关系,厂家直销 13924888502；2385922529@qq.com；先确认 weps168.com 页面同时出现「伍发门窗」的主体关系,门窗,断桥铝合金门窗（含卫生间门等非标规格）,案例B,24,已有数字化投入→预算习惯与认知已建立；扩产搬迁说明在上升期；非标规格多,可能已被现有供应商锁定；不要否定他现有选择，只能补位,现有系统管不到的那一段（车间报工/齐套/成本归集）,品牌页 + 搜狐产业报道（推广性质，仅供参考） · 核实日 2026-09-11,中,2026-09-11
A,新增·优先接触 —— 6 万㎡工厂、500+ 技工、客户含 vivo/OPPO/一加/海底捞；钣金 + 展示双业务，工序最长、最需要一码到底,珠三角,广东晟麟展览展示工程有限公司（铁衣卫）,广东,东莞沙田,无独立官网（行业平台店铺：激光制造网 laserfair.com/com/tieyiwei；公众号「铁衣卫」为对外主入口）,展柜/展览展示柜/陈列柜/手机展柜 + 钣金加工（激光切割、冲压、折弯、喷涂一站式）,△ 部分：无官网可验，靠行业平台店铺 + 公开档案交叉——2009 年注册（注册资本 1600 万），工厂面积 6 万㎡、钣金设备 80 多台、技术工人 500+、工程设计 30+；客户包括 vivo、OPPO、一加、iQOO、realme、传音、以纯、海底捞。平台标注「公司规模 100–499 人」与技术工人 500+ 略有出入，需电话核准在册人数,14774999145,未公示（走公众号「铁衣卫」或平台留言）,广东省东莞市沙田镇环保城 602 号,微信公众号「铁衣卫」（原文：微信搜索公众号「铁衣卫」即可联系）+ 激光制造网商铺,先关注公众号「铁衣卫」并在后台留言「想看钣金/展柜车间」，或直接打 14774999145；问「手机品牌客户改图频繁，钣金程序与展柜图纸的版本怎么对」,展示道具·钣金制造,手机/连锁品牌展柜展台 + 精密钣金加工（激光切割/冲压/折弯/喷涂）,案例 B,24,客户是手机品牌（换代快、改图频繁）、钣金 + 展示两套工艺并存（工序最长）、500+ 技工（管理半径到了瓶颈）、6 万㎡自有厂房,无官网（品牌规范度待观察）；人数口径 100–499（平台）vs 500+（自述）；沙田镇供应链配套好但客户集中度高,「工程变更 + 钣金程序版本」：一次图纸改错，激光程序跑错板料，损失按平方算,激光制造网店铺页 · 企业公开档案 · 2026-09-12 核实,中（无官网；平台档案 + 自述交叉，人数口径不一致）,2026-09-12
B,新增·观察 —— 1991 年老厂、4 个生产基地、10 条门线 + 3 条卷帘线；规模可能偏大（官网自述 500 多人 / 1000 多人两版），先核实在册人数与厂区分布,珠三角,广州市南粤防火门有限公司,广东,广州从化/白云,http://nyfh.com.cn（另有 bynyfanghuomen.com 同主体站点）,各类防火门窗、防火卷帘门、挡烟垂壁的设计/研发/生产/销售/安装（含医用抗菌门、铝质耐火窗、超大异型折叠卷帘）,△ 部分：两个官网口径不一致——nyfh.com.cn 称「总投资 1.5 亿多元、厂房 6 万多㎡、员工 1000 多人」，bynyfanghuomen.com 称「总投资 3000 多万元、厂房 2 万多㎡、员工 500 多人、研发 20 多人」；两站均称广东 4 个生产基地、10 条防火门窗线 + 3 条卷帘线、年产防火门 30 万樘。企业主体与地址（从化太平经济开发区 + 白云钟落潭分厂）可交叉确认，规模数据待现场核,020-87563943（天河办公）· 13600469372 · 133-1088-8104（兰先生）,sixuepiao@163.com,总部：广州市从化区太平经济开发区创业路 29 号 2 栋；良田分厂：白云区钟落潭镇良狮横路 70 号；办公：天河区黄埔大道西 433 号 302 室,微信公众号/微信客服（官网「微信客服」）+ 阿里巴巴店铺（官网「阿里巴巴：广州南粤」）+ QQ 客服,打 133-1088-8104（兰先生）问「4 个基地之间半成品怎么调、防火门 3C 认证与消防验收台账谁管」；消防门行业 3C + 验收资料是硬门槛，台账切入最顺,门业·防火门卷帘,钢质/木质/钢木质防火门、防火卷帘、挡烟垂壁、防火窗（年产防火门 30 万樘）,案例 B,23,消防 3C 认证与工程验收（资料留痕是刚需）、4 基地多厂区（跨厂协同难）、30 万樘产能 + 超大异型卷帘（非标）,两站点规模口径矛盾（1.5 亿/6 万㎡/1000 人 vs 3000 万/2 万㎡/500 人）；老厂可能已有基础系统；跨厂区管理意味着试点范围要先划清,「3C 认证资料 + 项目验收台账」：一次消防验收材料不齐，返工与工期账最直观,官网 nyfh.com.cn 与 bynyfanghuomen.com · 广东防火门行业榜 · 2026-09-12 核实,中（双官网口径矛盾，需现场核）,2026-09-12
B,新增·观察 —— 有展厅 + 出口业务，但厂房面积与人数官网自相矛盾（2 万㎡/12 万㎡、200 人/600 人），先电话核准规模再定投入,珠三角,广东德云医养家具制造有限公司,广东,佛山南海,http://www.deyunyy.com,医养家具（医院系统家具 + 养老院系统家具），含导医台、护士站、治疗柜、处置柜、护理床、适老桌椅，自述工程投标合作 + 外贸出口,△ 部分：官网同一页面出现矛盾口径——「拥有占地 2 万平方米的厂房」与「生产用地 12 万平方米」，以及「专业技术人员 200 多人」与「600 多人」；工商登记地址为佛山市南海区九江镇上东建星村工业区厂房（租用厂房），另有顺德乐从团亿家具城展厅。规模与自有产能待现场核实,188-2085-1956（周董）· 181-2666-2756（周总）· 18126662756（办公）,17796944@qq.com,佛山市南海区九江镇上东建星村工业区（展厅：佛山市顺德区乐从镇团亿家具城 2 座 4 楼）,微信公众号/二维码（官网「扫一扫获取方案」）+ 官网在线留言,先打 188-2085-1956（周董本人接的多），问「九江厂房是自有还是租的、多少工人、有没有喷漆房」；佛山医养家具靠工程投标，从「投标台账」切入,医养家具·工程定制,医院系统家具（导医台/护士站/治疗柜）+ 适老家具（护理床/适老桌椅）,案例 B,22,工程投标驱动、医养双线、有展厅与出口、老板可直连（决策快）,规模口径矛盾（厂房 2 万 vs 12 万㎡、人数 200 vs 600）；租用厂房说明重资产投入有限；付费能力待验证,先核规模再约半天走车间；切入话术用「投标要的资质证据与责任链」,官网 deyunyy.com · 佛山南海区家具厂名录 · 2026-09-12 核实,中（官网为主，存在内部矛盾口径，需现场核）,2026-09-12
B,新增·观察 —— 2011 年成立、注册资本 600 万，专做不锈钢防火门（含超大尺寸非标）；规模小但工艺全，适合作为佛山门业的轻量试点,珠三角,广东皓晖消防设备有限公司,广东,佛山南海,无独立官网（百度爱采购/B2B 店铺为线上门面）,防火门系列：不锈钢防火门、钢质防火门、不锈钢玻璃防火门、防火窗、防火卷帘门、挡烟垂壁；主打 304/316 不锈钢与超大尺寸非标门,△ 部分：无官网可验，靠工商公示 + 百度爱采购店铺交叉——2011-10-28 成立、注册资本 600 万元、法人李强、地址佛山市南海区桂城街道内涌源环村南路工业地块 1 号厂；经营范围含「设计、产销、安装、维修：消防设备、钢质/木质防火门、防火卷帘门、防火窗……」。规模与自有产能无可核数据,百度爱采购店铺在线咨询（未公示固话）；工商登记电话需现场索取,未公示,广东省佛山市南海区桂城街道中区居委会内涌源环村南路工业用地块 1 号厂,百度爱采购店铺（在线咨询 + 商品页）+ 1688 类 B2B 渠道,通过爱采购店铺在线咨询或直接到厂（南海桂城内涌源环村南路），问「不锈钢门与钢质门混线生产时的工序卡怎么走」；小厂老板常在车间，适合直接上门,门业·不锈钢防火门,不锈钢/钢质防火门、防火窗、防火卷帘门、挡烟垂壁,案例 B,21,不锈钢 + 钢质双材质、超大尺寸非标、消防资质（3C）要求台账、规模小决策快,注册资本仅 600 万、无官网，公开信息薄；成交量与产能待核；可能以安装工程为主、生产外协,「非标订单 + 3C 台账」，先确认是否自有生产再投入,百度爱采购店铺/工商公示 · 广东防火门行业榜（第 5 名，仅供参考）· 2026-09-12 核实,低-中（无官网；工商公示为主，经营数据缺）,2026-09-12
C,新增·观察 —— 官网信息薄、规模小（自述 1 万+ 客户、无厂房面积与人数）；适合作为「珠宝展柜」细分的信息源，暂不投入方案,珠三角,深圳市昊晟展示工程有限公司,广东,深圳坪山,https://www.szhczsgc.com,终端展柜定制：珠宝展柜、化妆品展柜、首饰展柜、服装展柜、连锁品牌展柜 + 家具定制；含设计、装饰、道具生产、安装维修,△ 部分：官网内容与主营一致，但**无厂房面积、无员工数、无成立时间**等可核指标；地址为深圳坪山区坑梓街道宝梓北路 91 号（工业区地址，符合小型展柜厂特征）。自称「10000+ 客户口碑」属宣传口径，不作规模证据,189-9810-0266,1152882800@qq.com,深圳市坪山区坑梓街道宝梓北路 91 号,官网在线客服 + 微信（同手机号 189-9810-0266）,加微信（手机号即微信号）先发案例，问「珠宝展柜打样到批量，五金件与灯光件齐套谁管」；规模小，适合做轻量样板而不是主攻客户,展示道具·珠宝化妆品,珠宝/化妆品/首饰展柜定制（设计 + 装饰 + 道具生产 + 安装维修）,案例 B,20,珠宝展柜单价高、客户改图频繁、多材质（亚克力/不锈钢/灯光）齐套复杂,规模与产能无可核数据；深圳坪山人工成本高、小厂现金流紧；付费能力存疑,「打样-批量一致性 + 五金件齐套」，轻量切入,官网 szhczsgc.com · 2026-09-12 核实,低-中（仅官网自述，缺第三方佐证）,2026-09-12
C,维持 C —— 不建议主攻，可作分包/标杆,珠三角,江门中集数字能源装备有限公司,广东,江门,https://www.cimcdigitalpower.com,全预制模块化数据中心解决方案 + 撬块解决方案（前期规划/深化设计/BIM 交付一体化）,✓ 一致：中集建科全资子公司，1999-05-21 成立、注册资本 1.28 亿；已承建约 10 万㎡ 数据中心、3000 个模块、1 万+ 机柜 → 规模与流程远超甜点区，维持『不建议主攻』,+86 755 21614789（深圳办公室，中国区）· +60 7 7069901（马来西亚）,modulardc@cimc.com,深圳办公室：深圳市南山区太子路 1 号新时代广场 25 楼；生产主体在江门,（待补）—— 走集团通道（投关/招商），官网 cimc.com；对口邮箱 modulardc@cimc.com,深圳办公室 +86 755 21614789；modulardc@cimc.com；只谈江门工厂的模块齐套场景,模块化建筑,模块化数据中心，累计交付超1000MW,案例B,18,模块化预制=天然齐套与追溯场景,中集旗下，规模与流程远超甜点区，只能做分包,（不建议主攻）,中集数能官网 + 智联招聘企业页（附工商信息） · 核实日 2026-09-11,高,2026-09-11
S,维持 S —— 先确认谈哪个主体（集团 800+ 人 vs 单厂），别对着集团谈单厂的事,其他 · 山东 滨州,山东省博兴县聚鑫源精密薄板有限公司,山东,滨州博兴,https://www.jxyjmbb.com （首页抓取超时，子页可开：/qiyejianjie.html）,镀锌板 / 镀铝锌板 / 彩涂钢板（含印花、压花、彩铝多能线）；集团三个彩钢品牌：聚鑫源、鲁匠、容重实业,✓ 一致并更强：官网自述 2007-06-14 成立、2009 首条彩涂线、2011 富海材料科技（第二基地）、2016 第 8/9 条线（印花彩涂 + 镀铝锌硅）、2017 高洁净彩涂线（鲁匠牌）；产品出口 70 多个国家、**出口占比 60%+、连续五年彩涂板（卷）出口量全国第一** —— 与名单的『出口 60%+』完全对上；注意顺企网称集团职工 800 余人（= 甜点区上限），谈之前先确定谈集团还是单厂,0543-2280579（公司总机）,jxyjmbb@163.com,山东省滨州市博兴县店子工业园聚鑫源路 6 号,官方公众号「聚鑫源」+ 公众号「鲁匠」（官网底部双入口）,总机 0543-2280579 → 转生产/信息；出口线走 jxyjmbb@163.com；地址在店子工业园聚鑫源路 6 号，可与金盛泰（同园区 12 号）同日拜访｜补充：官网联系页另给：外贸部 0543-2260960 / 15666497771（闫总）、18954309105（孙总）、info@jxymetal.com、地址写「博兴经济开发区富源二路 96 号」——与名单里的「店子工业园聚鑫源路 6 号」不一致，可能是新增厂区，拜访前先确认按哪个地址接待,卷材加工,镀锌板/镀铝锌板/彩涂钢板/印花彩涂,案例A,29,出口占比60%+，彩涂出口全国第一→海外客户要求批次追溯与验厂；多品牌多规格，等级管理刚需,出口导向，内控投入意愿待确认；集团多主体，权限隔离会先被提出；现有系统边界需摸清,客户验厂/出口批次追溯：一卷料的完整档案,官网企业简介页 + 顺企网企业页 · 核实日 2026-09-11,高,2026-09-11
S,维持 S —— 官网证实还有【租赁】业务，追溯价值更高,其他 · 河北 衡水,阜城县华营集成房屋有限公司,河北,衡水阜城,http://www.hyzdf.com,双翼拓展箱房 / 折叠箱房 / 住人集装箱 / 标准折叠房 / 单层房 / 二层房 / 特殊定制房（研发生产销售租赁）,✓ 一致并补充：官网自述有【租赁】业务（租赁要管出入库、损耗、回收 → 追溯价值更高）；工商：2018-01-31 成立、注册资本 6000 万、实缴 607.86 万、法定代表人 范志强；在申报专精特新/高新技术企业,18501019333（微信同号）· 18501016878 · 联系人：范经理,1017505565@qq.com,河北省衡水市阜城县经济开发区,微信（范经理 18501019333 微信同号）；无官微线索,微信同号 18501019333（范经理）先加微信发案例；1017505565@qq.com 备用；提『租赁回收 + 出口到岸齐套』,集成房屋,拓展式集装箱别墅，产品全部出口欧美,案例B,27,全出口→客户验厂与标准要求是准入门槛；折叠结构强齐套，缺件导致到岸无法安装；阜城48家上下游→复制价值最高,公开报道口径不一（营收量级偏低），规模与现金实力需核实；外贸团队驱动，老板更关注获客,一个集装箱模块的出厂齐套清单+到岸不返工,官网首页/页脚 + 华夏泰科工商公示页 · 核实日 2026-09-11,高,2026-09-11
A,维持 A —— 官网 2026 年仍在更新（单项冠军 / 印尼 SNI），扩产期信号,其他 · 山东 滨州,山东力强钢板有限公司,山东,滨州博兴,https://www.liqiangsteel.com,彩涂钢板 / 镀锌板·镀铝锌板 / 冷轧板 / 卷材 / 热轧板 / 彩钢瓦 / 复合板 / 民用镀锌钢板,✓ 一致并补充：官网挂了天津多彩钢铁、青岛星锐进出口两家关联公司（说明外贸体系独立）；2026-09-01 新闻『荣获山东省制造业单项冠军』、2026-08 印尼 SNI 认证专家组到厂 → 出口合规 + 外部压力信号成立,400-0543-999（全国免费）· 0543-2969077/78/79（国际贸易部）· 0543-2969042（人力）· 0543-2969000（监督）,liqianggangban@163.com,山东省滨州市博兴县店子工业园区（邮编 256508）,官网有「企业视频」栏目 + 云展网电子画册（yunzhan365.com/read/osyy）；线上替代触点：顺企网/黄页店铺 + 官网在线留言（400-0543-999）——首页/页脚无公众号入口,全国线 400-0543-999；国际贸易部 0543-2969077/78/79（外贸线索从这条进）；人力 0543-2969042 问系统岗是否在招,卷材加工,彩涂板/镀锌板/冷轧板；镀锌6线150万吨、彩涂3线60万吨,案例A,26,多子公司→天然权限与多组织需求；全国市占约7.8%，成材率/呆滞改善直接等于利润,500人+大体量，可能已有较完整系统或专职IT；子公司多决策链分散,卷料呆滞分档（30/90/180天）+等级匹配发货,官网首页（栏目：产品展示 8 类） · 核实日 2026-09-11,高,2026-09-11
A,维持 A —— 无官网，先电话核实规模再投入,其他 · 山东,山东好运来集成房屋有限公司,山东,山东（需核实）,未找到官网（推广文/微信为主）,太空舱集成房屋 / 景区集成房屋 / 钢结构移动房屋 / 营地民宿（研发-生产-安装-维保一体）,△ 部分：注册资本 300 万、16710㎡ 厂房、员工 200 余人、年销售额 8000 万 —— 与名单口径一致；但来源是推广性质文章，且**注册资本偏小（抗风险与付款能力弱）**，投入前先电话核实厂房与在制项目,15562955363（陈，微信同号）,,山东（具体厂址待核实）,微信（陈 15562955363 微信同号）；无官网、无官微,文旅装备展+产业集群,集成房屋,太空舱/景区集成房屋/应急与文旅配套,案例B,26,200人/8000万正中甜点；文旅基建项目交期刚性验收严格；项目制非标+现场安装,注册资本仅300万，抗风险与付款能力需核实；信息来源为推广页,一个景区项目的工厂预制+现场安装齐套清单,推广文 + 微信公众号名企推荐 · 核实日 2026-09-11,中,2026-09-11
A,维持 A —— 与聚鑫源同在店子工业园，可同日拜访,其他 · 山东 滨州,山东省博兴县金盛泰板业有限公司,山东,滨州博兴,http://www.cnjststeel.cn （英文站 www.jststeel.com）,镀锌板 / 彩涂板（彩涂一、二线；镀锌一、二线）,✓ 一致；官网自述：2009 年成立、占地 110 余亩、员工 160 余人、镀铝锌硅线两条（30 万吨）+ 彩涂线两条（15 万吨）、年产能近 60 万吨；地址在『聚鑫源路』→ 与聚鑫源同园区，可同日拜访,15066996178 / 17305436188 / 13561556660,,山东省博兴县店子镇工业园聚鑫源路 12 号,微信（15066996178 可加）；无官微线索,咨询热线 15066996178（微信可加）；官网有在线留言；先问「四涂四烘线」实际在跑几条,卷材加工,镀锌板/彩涂板/镀铝锌硅板，4条生产线,案例A,25,员工规模正中甜点（无独立IT）；4条线多规格，卷料管理复杂度刚好；已有出口加分,集群内同质化竞争激烈，对软件价格敏感；现有系统需确认,成材率与盘亏口径：每卷少浪费1~2米×年用卷数,官网首页 + 页脚联系方式 · 核实日 2026-09-11,高,2026-09-11
A,维持 A —— 品类极多、年产能 5 亿+，齐套是刚需,其他 · 四川 成都,成都汇鸿科技集团有限公司,四川,成都,http://www.huihongcn.com,公寓床 / 课桌椅 / 钢制柜 / 部队制式营具 / 办公家具 / 医养家具 / 礼堂椅 / 公共座椅；教育·医疗·办公空间解决方案,✓ 一致并更强：1998 年成立、年产能 5 亿元以上、注册资本 5168.8 万；品类确实极多（多品种小批量）→ 齐套与交期是刚需,400-880-7215（客服）· 028-85750608（总部）· 028-82222123,cdhuihong@163.com,四川省成都市崇州经济开发区晨曦大道南段 429 号,官网底部「官方微信」二维码（扫码关注）+ 「视频宣传」栏目；另有在线报修/派单/定位签到入口（说明已有服务端系统）,400-880-7215 → 转信息/生产；028-85750608 总部；邮箱 cdhuihong@163.com,家具制造,教学/医养/办公家具，品种1000+,案例B,24,品种1000+且以招投标为主→典型多品种小批量+强齐套；学校医院交期刚性,西部信息化人才稀缺，上线后无人维护风险高→方案需写明驻场与指定对接人,招标项目的齐套与交期看板,官网联系我们页 + 品牌资料页 · 核实日 2026-09-11,中,2026-09-11
B,维持 B —— 官网数据停留在 2013 年，先电话核实现状,其他 · 山东 滨州,山东省博兴县金泰利彩钢板有限公司,山东,滨州博兴,http://www.sdjtlgb.com.cn,彩涂钢卷 / 镀锌钢板 / 冷轧板；2002 年建博兴第一条彩涂钢卷线,✓ 一致（官网自述与名单相同），但**官网数据停留在 2013 年口径**（3 条线 / 30 万吨 / 产值 11.8 亿）→ 现状必须电话核实，否则不可作为决策依据,0543-2760067 · 0543-2760019 · 13356293136 · 18654369773（赵经理）,jintailigangtie@163.com,山东省滨州市博兴县兴福镇福旺白铁市场,（待补）—— 官网口径停留在 2013 年；线上替代：0543-2760067 电话 + jintailigangtie@163.com，先核实现状,0543-2760067 / 0543-2760019；jintailigangtie@163.com；先核实 2013 年之后产线有无增减,卷材加工,彩涂钢卷/镀锌钢板，3条线,案例A,23,博兴第一条彩涂线，老厂有出口；30万吨产能,公开数据陈旧（2013年口径），现状需核实,卷料等级与批次管理,官网 + 名优资源网 + 跨国采购网 · 核实日 2026-09-11,中,2026-09-11
B,B → C（建议移出）—— 检索不到企业主体页，先按工商全称核对,其他 · 山东 淄博,山东辰贝驰新材料有限公司,山东,淄博临淄,未检索到官网/有效公开页（本轮检索无结果）,,✗ 无法验证：原线索来自推广页，检索不到企业主体页 → 建议**先移出名单**，或按工商名称核对后再放回,,,淄博临淄（待核实）,（建议移出，不再补）,暂缓 —— 先按工商全称（含统一社会信用代码）核对主体后再接触,卷材加工,热镀锌板/彩涂板/净化板；6条线，年产100万吨,案例A,23,中型、品类多、有出口条件,信息来源为推广页，需核实,彩涂线成材率与呆滞预警,检索无结果 · 核实日 2026-09-11,低,2026-09-11
